sample_id,region_id,pixel_count,pair_cosine,cluster_with,cluster_no
21e50bd8b149409a9791a74acf49a676,1,195,-0.01132879,3,6
21f333d5deb043bba7fe772ff5775b0e,0,21832,-0.03449053,1,5
21f333d5deb043bba7fe772ff5775b0e,1,668,-0.00359340,2,6
221c593dff9e429cb5e15139cc829c1c,0,22086,-0.04020775,1,6
221c593dff9e429cb5e15139cc829c1c,1,414,0.01576756,0,5
22a2197bfad742faa1c5cf8c1be1bc45,0,21722,-0.05103964,1,5
22a2197bfad742faa1c5cf8c1be1bc45,1,778,-0.00415792,4,5
2336902b0b8e46f2b824d9b0b85c33e8,0,21413,-0.02384004,1,6
2336902b0b8e46f2b824d9b0b85c33e8,1,1087,-0.05719161,6,0
23483c4baaa7430bbf98f997f50ad2df,0,21267,-0.02918973,1,6
23483c4baaa7430bbf98f997f50ad2df,1,1233,-0.06132959,6,6
23e7d17b256348638af3b2739b80a5ca,0,21725,-0.03456482,1,5
23e7d17b256348638af3b2739b80a5ca,1,775,-0.00276498,2,6
255cd0f1d034478aa395510f4181111f,0,22221,-0.01368299,1,6
255cd0f1d034478aa395510f4181111f,1,279,0.00202857,6,6
261cc24af3424327afbf4a848ebce1c8,0,22313,-0.03574405,1,6
261cc24af3424327afbf4a848ebce1c8,1,187,-0.00341245,0,5
261e4db3a18c4c23944f61bd6e51cf0c,0,22365,-0.03351256,1,6
261e4db3a18c4c23944f61bd6e51cf0c,1,135,0.01701389,0,5
264f7a3db349473c9032d9ee63b9b828,0,21772,-0.02652324,1,6
264f7a3db349473c9032d9ee63b9b828,1,728,-0.03762074,6,6
26ce0c76786c43158b3bac999b27e76b,0,21521,-0.04432957,1,6
